conversation_id,turn,role,intent,message
a73b5331-1a84-4ade-9e72-0889584b220b,1.0,user,shopping,best deals today?
a73b5331-1a84-4ade-9e72-0889584b220b,1.5,bot,shopping,"Sure, let me help you with that!"
a73b5331-1a84-4ade-9e72-0889584b220b,2.0,user,ai,what is llm?
a73b5331-1a84-4ade-9e72-0889584b220b,2.5,bot,ai,"Sure, let me help you with that!"
a73b5331-1a84-4ade-9e72-0889584b220b,3.0,user,habits,good habits?
a73b5331-1a84-4ade-9e72-0889584b220b,3.5,bot,habits,"Sure, let me help you with that!"
a73b5331-1a84-4ade-9e72-0889584b220b,4.0,user,books,best books to read?
a73b5331-1a84-4ade-9e72-0889584b220b,4.5,bot,books,"Sure, let me help you with that!"
a73b5331-1a84-4ade-9e72-0889584b220b,5.0,user,college,tips for engineering students
a73b5331-1a84-4ade-9e72-0889584b220b,5.5,bot,college,"Sure, let me help you with that!"
a73b5331-1a84-4ade-9e72-0889584b220b,6.0,user,greeting,what's up?
a73b5331-1a84-4ade-9e72-0889584b220b,6.5,bot,greeting,Hello! How can I assist you?
22815da2-60ba-42cd-8f4b-0b7f3153c830,1.0,user,security,how to stay safe online?
22815da2-60ba-42cd-8f4b-0b7f3153c830,1.5,bot,security,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,2.0,user,sleep,how to sleep fast?
22815da2-60ba-42cd-8f4b-0b7f3153c830,2.5,bot,sleep,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,3.0,user,emotions,i feel sad
22815da2-60ba-42cd-8f4b-0b7f3153c830,3.5,bot,emotions,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,4.0,user,math,solve equation
22815da2-60ba-42cd-8f4b-0b7f3153c830,4.5,bot,math,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,5.0,user,fitness,exercise tips
22815da2-60ba-42cd-8f4b-0b7f3153c830,5.5,bot,fitness,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,6.0,user,coding,what is recursion?
22815da2-60ba-42cd-8f4b-0b7f3153c830,6.5,bot,coding,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,7.0,user,resume,resume example
22815da2-60ba-42cd-8f4b-0b7f3153c830,7.5,bot,resume,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,8.0,user,salary,negotiate salary?
22815da2-60ba-42cd-8f4b-0b7f3153c830,8.5,bot,salary,"Sure, let me help you with that!"
22815da2-60ba-42cd-8f4b-0b7f3153c830,9.0,user,weather,what's the weather today?
22815da2-60ba-42cd-8f4b-0b7f3153c830,9.5,bot,weather,The weather looks nice today!
5b6e49e2-3e36-4ac9-8873-e6ab090bcb4a,1.0,user,geography,largest country?
5b6e49e2-3e36-4ac9-8873-e6ab090bcb4a,1.5,bot,geography,"Sure, let me help you with that!"
5b6e49e2-3e36-4ac9-8873-e6ab090bcb4a,2.0,user,fitness,workout routine?
5b6e49e2-3e36-4ac9-8873-e6ab090bcb4a,2.5,bot,fitness,"Sure, let me help you with that!"
5b6e49e2-3e36-4ac9-8873-e6ab090bcb4a,3.0,user,music,best singers
5b6e49e2-3e36-4ac9-8873-e6ab090bcb4a,3.5,bot,music,"Sure, let me help you with that!"
1cdebc68-7799-496d-a3d2-06e029e36af0,1.0,user,shopping,best deals today?
1cdebc68-7799-496d-a3d2-06e029e36af0,1.5,bot,shopping,"Sure, let me help you with that!"
1cdebc68-7799-496d-a3d2-06e029e36af0,2.0,user,android,optimize battery?
1cdebc68-7799-496d-a3d2-06e029e36af0,2.5,bot,android,"Sure, let me help you with that!"
1cdebc68-7799-496d-a3d2-06e029e36af0,3.0,user,business,startup ideas
1cdebc68-7799-496d-a3d2-06e029e36af0,3.5,bot,business,"Sure, let me help you with that!"
